전표번호,회사코드,회계연도,라인번호,전기일,증빙일,회계월,계정코드,계정명,계정속성(BS/PL),통합순금액(Net),통합거래처명,원가센터명(부서명),적요,전표성격,역분개여부,역분개참조번호
5105600151,C003,2022,2,2022-04-24,2022-04-24,04월,500010,Transporting,손익계산서(PL),300,,,,매입송장,해당없음,
5105600143,C003,2022,2,2022-04-24,2022-04-24,04월,500010,Transporting,손익계산서(PL),600,,,,매입송장,해당없음,
5105600152,C003,2022,2,2022-04-24,2022-04-24,04월,500010,Transporting,손익계산서(PL),550,,,,매입송장,해당없음,
5105600153,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),360,,,,매입송장,해당없음,
5105600154,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),480,,,,매입송장,해당없음,
5105600155,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),600,,,,매입송장,해당없음,
5105600156,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),420,,,,매입송장,해당없음,
5105600157,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),315,,,,매입송장,해당없음,
5105600158,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),400,,,,매입송장,해당없음,
5105600159,C004,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),480,,,,매입송장,해당없음,
5105600160,C004,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),600,,,,매입송장,해당없음,
5105600101,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),15,,,,매입송장,해당없음,
5105600102,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),150,,,,매입송장,해당없음,
5105600103,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),1200,,,,매입송장,해당없음,
5105600104,C001,2022,2,2022-01-24,2022-01-24,01월,500010,Transporting,손익계산서(PL),100,,,,매입송장,해당없음,
5105600131,C001,2022,2,2022-02-23,2022-02-23,02월,500010,Transporting,손익계산서(PL),500,,,,매입송장,해당없음,
5105600132,C001,2022,2,2022-03-14,2022-03-14,03월,500010,Transporting,손익계산서(PL),250,,,,매입송장,해당없음,
5105600133,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),225,,,,매입송장,해당없음,
5105600134,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),250,,,,매입송장,해당없음,
5105600135,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),1500,,,,매입송장,해당없음,
5105600137,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,,,,매입송장,해당없음,
5105600138,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,,,,매입송장,해당없음,
5105600139,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,,,,매입송장,해당없음,
