doc_no,company_code,fisc_year,line_no,post_date,doc_date,fisc_month,acc_code,acc_name,acc_type,amount,dc_indicator,counterparty,department,description,doc_type,reversal_yn,reversal_ref,_post_year,_post_month,_post_day,_post_weekday,_post_quarter,_is_weekend,_fisc_month_int,_debit,_credit,_amount,_is_pl,_is_reversal_flag,_flag_weekend,_flag_reversal,_flag_out_of_period,_flag_duplicate
5105600151,C003,2022,2,2022-04-24,2022-04-24,04월,500010,Transporting,손익계산서(PL),300,차변(Debit),,,,매입송장,해당없음,,2022,4,24,Sunday,2,TRUE,4,300,0,300,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
5105600143,C003,2022,2,2022-04-24,2022-04-24,04월,500010,Transporting,손익계산서(PL),600,차변(Debit),,,,매입송장,해당없음,,2022,4,24,Sunday,2,TRUE,4,600,0,600,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
5105600152,C003,2022,2,2022-04-24,2022-04-24,04월,500010,Transporting,손익계산서(PL),550,차변(Debit),,,,매입송장,해당없음,,2022,4,24,Sunday,2,TRUE,4,550,0,550,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
5105600153,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),360,차변(Debit),,,,매입송장,해당없음,,2022,4,25,Monday,2,FALSE,4,360,0,360,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5105600154,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),480,차변(Debit),,,,매입송장,해당없음,,2022,4,25,Monday,2,FALSE,4,480,0,480,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5105600155,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),600,차변(Debit),,,,매입송장,해당없음,,2022,4,25,Monday,2,FALSE,4,600,0,600,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5105600156,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),420,차변(Debit),,,,매입송장,해당없음,,2022,4,25,Monday,2,FALSE,4,420,0,420,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5105600157,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),315,차변(Debit),,,,매입송장,해당없음,,2022,4,25,Monday,2,FALSE,4,315,0,315,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5105600158,C003,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),400,차변(Debit),,,,매입송장,해당없음,,2022,4,25,Monday,2,FALSE,4,400,0,400,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5105600159,C004,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),480,차변(Debit),,,,매입송장,해당없음,,2022,4,25,Monday,2,FALSE,4,480,0,480,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5105600160,C004,2022,2,2022-04-25,2022-04-25,04월,500010,Transporting,손익계산서(PL),600,차변(Debit),,,,매입송장,해당없음,,2022,4,25,Monday,2,FALSE,4,600,0,600,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5105600101,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),15,차변(Debit),,,,매입송장,해당없음,,2022,1,23,Sunday,1,TRUE,1,15,0,15,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5105600102,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),150,차변(Debit),,,,매입송장,해당없음,,2022,1,23,Sunday,1,TRUE,1,150,0,150,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5105600103,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),1200,차변(Debit),,,,매입송장,해당없음,,2022,1,23,Sunday,1,TRUE,1,1200,0,1200,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5105600104,C001,2022,2,2022-01-24,2022-01-24,01월,500010,Transporting,손익계산서(PL),100,차변(Debit),,,,매입송장,해당없음,,2022,1,24,Monday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600131,C001,2022,2,2022-02-23,2022-02-23,02월,500010,Transporting,손익계산서(PL),500,차변(Debit),,,,매입송장,해당없음,,2022,2,23,Wednesday,1,FALSE,2,500,0,500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600132,C001,2022,2,2022-03-14,2022-03-14,03월,500010,Transporting,손익계산서(PL),250,차변(Debit),,,,매입송장,해당없음,,2022,3,14,Monday,1,FALSE,3,250,0,250,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600133,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),225,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,225,0,225,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600134,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),250,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,250,0,250,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600135,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),1500,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600137,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600138,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600139,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600136,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),1500,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600140,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),500,차변(Debit),,,,매입송장,해당없음,,2022,4,12,Tuesday,2,FALSE,4,500,0,500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600141,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),1000,차변(Debit),,,,매입송장,해당없음,,2022,4,12,Tuesday,2,FALSE,4,1000,0,1000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600142,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),600,차변(Debit),,,,매입송장,해당없음,,2022,4,12,Tuesday,2,FALSE,4,600,0,600,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600101,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),15,차변(Debit),,,,매입송장,해당없음,,2022,1,23,Sunday,1,TRUE,1,15,0,15,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
